timestep,group,average_knowledge,knowledge_std,weakest_category_avg,strongest_category_avg,knowledge_variance_avg,cumulative_correct,cumulative_incorrect,accuracy,category_0_knowledge,category_0_exposure,category_1_knowledge,category_1_exposure,category_2_knowledge,category_2_exposure,category_3_knowledge,category_3_exposure,category_4_knowledge,category_4_exposure,category_5_knowledge,category_5_exposure
540,ucb,0.5710699006155601,0.06074380262889148,0.5072472510799202,0.632116732516394,0.002046132210128538,22444,31556,0.4156296296296296,0.5754437310602072,9132,0.5780247781632756,9158,0.5649433842188591,8686,0.5736698619572461,8953,0.5767150398596554,9543,0.5576226084341174,8528
550,ucb,0.5736057388911888,0.0595987543576974,0.5106096855299774,0.633741398337197,0.0019695507639666903,23007,31993,0.4183090909090909,0.5720682387201436,9285,0.5755027610459333,9298,0.5725430460093828,8872,0.5743410998742617,9127,0.5842852633282467,9723,0.5628940243691648,8695
560,ucb,0.577210769461092,0.06020035541523577,0.5113316476019271,0.6403396417496633,0.0020699415018712915,23588,32412,0.4212142857142857,0.5788777903962521,9439,0.5813171179818426,9466,0.5708884033909682,9022,0.5767223660429481,9282,0.5868940618702738,9905,0.5685648770842675,8886
570,ucb,0.5802405110475068,0.059102344095591015,0.5169680603028357,0.6413302345732389,0.001995678776003291,24165,32835,0.42394736842105263,0.5811664909568176,9587,0.575441567374678,9597,0.5780909486941552,9228,0.5804937887368377,9472,0.5883950636367898,10058,0.5778552068857632,9058
580,ucb,0.5800101561027706,0.05944370092450772,0.5178195023736173,0.644903190956923,0.0020725474986905417,24719,33281,0.4261896551724138,0.5789295046035509,9728,0.5794838855555396,9785,0.5738256493894521,9402,0.5836205787061101,9638,0.5881255500312221,10253,0.5760757683307486,9194
590,ucb,0.5811389574928717,0.06074426699971398,0.5160991016505553,0.6445171716620175,0.0021595083262684954,25286,33714,0.4285762711864407,0.5766296631758059,9887,0.5844512394407986,9966,0.5830582365815391,9606,0.5844548637555923,9816,0.5888230145395341,10401,0.5694167274639593,9324
600,ucb,0.58304385202686,0.05996712730523569,0.5198026358128824,0.6464147188652345,0.0021330054943240044,25862,34138,0.4310333333333333,0.5790298479210143,10046,0.5873326343885052,10161,0.5811021779125685,9752,0.5867049300797901,9975,0.5929286680659073,10561,0.5711648537933747,9505
610,ucb,0.5794655498907672,0.05941260295228207,0.5193909843008943,0.6406331492602075,0.002025183973138479,26385,34615,0.43254098360655735,0.5754460580616997,10202,0.5839282752871245,10323,0.5777760198723285,9901,0.5829095367316632,10161,0.586698981002946,10740,0.5700344283888401,9673
620,ucb,0.5774789707820538,0.060687536083936774,0.5107414747422598,0.6429432954841399,0.002277500703760932,26921,35079,0.43420967741935484,0.5682034888499988,10360,0.5815021046310768,10485,0.5748142804405791,10073,0.5810333093699611,10336,0.5885363081844117,10899,0.5707843332162948,9847
630,ucb,0.5805204554986475,0.05972667158639454,0.5155514080919307,0.6471697449770669,0.0023116071171124858,27502,35498,0.43653968253968256,0.5762729403698222,10524,0.5841292123476294,10665,0.5801161710135387,10265,0.5872430350862352,10528,0.585292445776968,11037,0.5700689283976916,9981
640,ucb,0.5833667242589174,0.059619011344443376,0.5183709682240815,0.6524336377317194,0.002432588463636925,28087,35913,0.438859375,0.5824891379946836,10700,0.5870171268458261,10839,0.582986320633589,10437,0.5872695447112614,10711,0.5915921739724712,11200,0.5688460413956731,10113
650,ucb,0.5823303606237471,0.05887489622668037,0.5165803578850399,0.6472850473086182,0.0022544481629582012,28636,36364,0.44055384615384613,0.5807981407446302,10865,0.5859943896631904,11001,0.5868866361461973,10618,0.5926919755564186,10920,0.5843802871628754,11337,0.5632307344691706,10259
660,ucb,0.5799797203678178,0.060938622397370905,0.5155383218510314,0.6425470873050172,0.002236422237876545,29172,36828,0.442,0.5766961963545161,11059,0.5861727158432002,11172,0.5804883041424799,10753,0.5899062605071186,11093,0.5815301136697871,11510,0.5650847316898043,10413
670,ucb,0.5788456725251857,0.061999374060054555,0.5156594438542456,0.6432581617153972,0.0021998266825641725,29716,37284,0.4435223880597015,0.5783776303465614,11239,0.5824023372105198,11329,0.5733681049755246,10911,0.5917207241633927,11272,0.5834843685595185,11690,0.5637208698955972,10559
680,ucb,0.579036631538525,0.06514261354142731,0.514517102026416,0.6514121745279262,0.002650330634516644,30276,37724,0.44523529411764706,0.5841263845559754,11415,0.5815706898243058,11501,0.5751426519388527,11102,0.5865610997416479,11417,0.5859972678663972,11869,0.5608216953039705,10696
690,ucb,0.576873505936874,0.06929817351575254,0.5068851777763832,0.6548385788019663,0.003104105826610072,30817,38183,0.4466231884057971,0.5754423822684402,11561,0.5819767574743273,11676,0.5778119348947875,11285,0.5800889892165911,11589,0.5877247952065279,12044,0.5581961765605703,10845
700,ucb,0.5782554902096116,0.06502924054453432,0.5099491256119761,0.6512147913446736,0.0026849754350609196,31377,38623,0.44824285714285717,0.5803528081635742,11737,0.5802889126616316,11837,0.578521907577141,11457,0.5855658784001396,11763,0.5821388197149417,12175,0.5626646147402424,11031
710,ucb,0.577777115895459,0.06456589677905507,0.5099699120490526,0.6501703170217814,0.002675827014689734,31924,39076,0.4496338028169014,0.5755805960798189,11875,0.5838565399928802,12009,0.5778533996714419,11622,0.5767831620831526,11915,0.5822990316592567,12345,0.5702899658862031,11234
720,ucb,0.5786076107541271,0.06554168043232868,0.5072828642431422,0.6489830898563173,0.0027491089159464603,32484,39516,0.45116666666666666,0.5798228570743841,12052,0.579391496500503,12146,0.5765546223067394,11791,0.5820707672346533,12107,0.5809318248507506,12503,0.5728740965577316,11401
730,ucb,0.5787128660663404,0.06674206654150094,0.506499878286745,0.6506343356840794,0.0028053880571206513,33040,39960,0.4526027397260274,0.5818334553228324,12220,0.5736782428649381,12295,0.5797024835598236,11991,0.5776049024644475,12260,0.5829100428535798,12671,0.576548069332421,11563
740,ucb,0.5789021933328302,0.06548888734274325,0.5077545961850634,0.6484306436811202,0.002702125941520278,33593,40407,0.4539594594594595,0.5813546299625317,12386,0.5779446744879001,12490,0.5794938011696582,12158,0.5842691515805339,12450,0.5800063958208456,12815,0.5703445069755115,11701
750,ucb,0.5795757816857803,0.06646908858760948,0.5063617786573605,0.6479634860859729,0.0026232108427618373,34156,40844,0.45541333333333334,0.5804117934217835,12547,0.5808556456043663,12657,0.5768620097601188,12319,0.5849411672461209,12618,0.5788371706276542,12963,0.5755469034546381,11896
760,ucb,0.5783732299778417,0.06718156787927126,0.50467056790596,0.6507032791848286,0.0028885683938036865,34701,41299,0.4565921052631579,0.577254492210875,12725,0.5766589507303884,12814,0.5859700905210078,12532,0.5800020060196135,12763,0.5736864076656502,13104,0.5766674327195156,12062
770,ucb,0.5790490305580077,0.06703052758313342,0.5053270599614884,0.6509900328392757,0.0028068026315418233,35264,41736,0.457974025974026,0.5789875201591178,12889,0.5785483503723465,12974,0.5871025809642286,12709,0.5804253796664234,12930,0.5789100056189121,13297,0.5703203465670174,12201
780,ucb,0.5797727920672913,0.06432245360017316,0.5108780761198759,0.6475390795311803,0.002516198069088825,35824,42176,0.4592820512820513,0.5730676037891795,13008,0.5832497219084304,13158,0.5914962364159483,12901,0.5742437720684891,13079,0.5835898745119321,13497,0.5729895437097684,12357
790,ucb,0.5816175143400718,0.06591149519494438,0.5082625017908371,0.651659090467935,0.0026519409239645617,36402,42598,0.4607848101265823,0.5755683348656805,13182,0.5824264081478786,13303,0.5902365466809417,13059,0.5766081738429613,13245,0.5865159040064013,13664,0.5783497184965664,12547
800,ucb,0.5799900864183362,0.0668812864470552,0.5073061577499837,0.6527828551490813,0.0027453437972988683,36948,43052,0.46185,0.5726527104634872,13376,0.5776642192216459,13459,0.583081026532507,13208,0.5812408680828188,13430,0.5872643763454901,13831,0.5780373178640681,12696
810,ucb,0.5789829774347719,0.06914061385159417,0.5045983153633363,0.6553071007339352,0.002986025565504177,37497,43503,0.4629259259259259,0.5778332263829764,13549,0.5814456877118654,13638,0.5800023962669472,13380,0.5823052866002763,13622,0.580446512700487,13970,0.5718647549460791,12841
820,ucb,0.5808055600550207,0.06789890421266422,0.5092069461538489,0.6575075412393326,0.002928523781096791,38070,43930,0.46426829268292685,0.5823908595444272,13724,0.5812344646377311,13801,0.5783894182138282,13535,0.5882516879929727,13817,0.5813547768775935,14144,0.573212153063571,12979
830,ucb,0.5826598221308263,0.06809260361750763,0.5081663861302753,0.6606377354896538,0.0030768443232952764,38650,44350,0.46566265060240963,0.5810891684121784,13874,0.5858211963887698,13981,0.5860028785897318,13722,0.591859801115557,13994,0.5836094543005901,14293,0.5675764339781304,13136
840,ucb,0.5825110181250898,0.0656467223403385,0.5124484172530522,0.6581677506023087,0.002809217526975167,39208,44792,0.46676190476190477,0.5814206604289713,14033,0.5878235329151259,14149,0.5828990266405853,13892,0.5872659398490212,14142,0.5826519528209785,14478,0.573004996095857,13306
850,ucb,0.5828640445407328,0.06554844006473608,0.5133121390264999,0.6558657871136256,0.002733754514487493,39774,45226,0.46792941176470587,0.576975073154641,14176,0.5857605540209743,14296,0.5893699191072586,14088,0.5856850119269112,14295,0.589380115779047,14668,0.5700135932555654,13477
860,ucb,0.5822584583286405,0.06717494584272718,0.5147440249129948,0.6610378781697049,0.0029464620877485957,40335,45665,0.46901162790697676,0.5781288999793001,14322,0.5787836622500996,14446,0.5882622793061247,14246,0.5795030766333571,14437,0.5949807242560315,14881,0.5738921075469302,13668
870,ucb,0.5839522060947402,0.06990291801726708,0.5079237390123701,0.6662264380133165,0.003240536318729378,40921,46079,0.47035632183908044,0.5738546788810158,14458,0.5849139695601614,14668,0.5866416048449321,14398,0.5813761681123052,14594,0.5922331293839286,15035,0.5846936857860977,13847
880,ucb,0.5884721286845288,0.06676827984632978,0.5181521698333893,0.6656980566965603,0.0030081705857411926,41533,46467,0.4719659090909091,0.5802168825930702,14617,0.5970035034196213,14860,0.5895885297587695,14566,0.5827254963656326,14759,0.5941190172185686,15192,0.5871793427515106,14006
890,ucb,0.5894297725454527,0.0642870159334902,0.5218968813450513,0.6664803591986239,0.002826553318212123,42118,46882,0.47323595505617977,0.5756184493547424,14766,0.5976272717243497,15030,0.5907850528164075,14738,0.5921031102252393,14951,0.5941991021804738,15357,0.5862456489715031,14158
